stock_name,ticker,screener_url,market_cap,sector,industry
Reliance Industries,RELIANCE,https://www.screener.in/company/RELIANCE/consolidated/,1799885.14,"Oil, Gas & Consumable Fuels",Refineries & Marketing
I O C L,IOC,https://www.screener.in/company/IOC/consolidated/,199985.83,"Oil, Gas & Consumable Fuels",Refineries & Marketing
B P C L,BPCL,https://www.screener.in/company/BPCL/consolidated/,129027.1,"Oil, Gas & Consumable Fuels",Refineries & Marketing
H P C L,HINDPETRO,https://www.screener.in/company/HINDPETRO/consolidated/,76165.6,"Oil, Gas & Consumable Fuels",Refineries & Marketing
M R P L,MRPL,https://www.screener.in/company/MRPL/consolidated/,30887.8,"Oil, Gas & Consumable Fuels",Refineries & Marketing
C P C L,CHENNPETRO,https://www.screener.in/company/CHENNPETRO/consolidated/,14658.75,"Oil, Gas & Consumable Fuels",Refineries & Marketing
O N G C,ONGC,https://www.screener.in/company/ONGC/consolidated/,363066.86,"Oil, Gas & Consumable Fuels",Oil Exploration & Production
Oil India,OIL,https://www.screener.in/company/OIL/consolidated/,76580.9,"Oil, Gas & Consumable Fuels",Oil Exploration & Production
Coal India,COALINDIA,https://www.screener.in/company/COALINDIA/consolidated/,279880.64,"Oil, Gas & Consumable Fuels",Coal
Bharat Coking,BHARATCOAL,https://www.screener.in/company/BHARATCOAL/,15219.08,"Oil, Gas & Consumable Fuels",Coal
GAIL (India),GAIL,https://www.screener.in/company/GAIL/consolidated/,100086.17,"Oil, Gas & Consumable Fuels",Gas Transmission/Marketing
Guj.St.Petronet,GSPL,https://www.screener.in/company/GSPL/consolidated/,13543.42,"Oil, Gas & Consumable Fuels",Gas Transmission/Marketing
Energy InfrTrust,542543,https://www.screener.in/company/542543/consolidated/,5312.0,"Oil, Gas & Consumable Fuels",Gas Transmission/Marketing
Adani Total Gas,ATGL,https://www.screener.in/company/ATGL/consolidated/,60500.2,"Oil, Gas & Consumable Fuels",LPG/CNG/PNG/LNG Supplier
Petronet LNG,PETRONET,https://www.screener.in/company/PETRONET/consolidated/,40722.07,"Oil, Gas & Consumable Fuels",LPG/CNG/PNG/LNG Supplier
Mahanagar Gas,MGL,https://www.screener.in/company/MGL/,10265.18,"Oil, Gas & Consumable Fuels",LPG/CNG/PNG/LNG Supplier
Aegis Logistics,AEGISLOG,https://www.screener.in/company/AEGISLOG/consolidated/,21237.42,"Oil, Gas & Consumable Fuels",Trading - Gas
Aegis Vopak Term,AEGISVOPAK,https://www.screener.in/company/AEGISVOPAK/consolidated/,20689.75,"Oil, Gas & Consumable Fuels",Oil Storage & Transportation
Castrol India,CASTROLIND,https://www.screener.in/company/CASTROLIND/,17746.84,"Oil, Gas & Consumable Fuels",Lubricants
HDFC Bank,HDFCBANK,https://www.screener.in/company/HDFCBANK/consolidated/,1227928.99,Financial Services,Private Sector Bank
ICICI Bank,ICICIBANK,https://www.screener.in/company/ICICIBANK/consolidated/,917559.76,Financial Services,Private Sector Bank
Axis Bank,AXISBANK,https://www.screener.in/company/AXISBANK/consolidated/,409893.77,Financial Services,Private Sector Bank
Kotak Mah. Bank,KOTAKBANK,https://www.screener.in/company/KOTAKBANK/consolidated/,370055.05,Financial Services,Private Sector Bank
IDBI Bank,IDBI,https://www.screener.in/company/IDBI/consolidated/,77503.75,Financial Services,Private Sector Bank
Federal Bank,FEDERALBNK,https://www.screener.in/company/FEDERALBNK/consolidated/,69837.67,Financial Services,Private Sector Bank
IndusInd Bank,INDUSINDBK,https://www.screener.in/company/INDUSINDBK/consolidated/,63473.47,Financial Services,Private Sector Bank
Yes Bank,YESBANK,https://www.screener.in/company/YESBANK/consolidated/,59401.88,Financial Services,Private Sector Bank
IDFC First Bank,IDFCFIRSTB,https://www.screener.in/company/IDFCFIRSTB/consolidated/,56126.33,Financial Services,Private Sector Bank
Karur Vysya Bank,KARURVYSYA,https://www.screener.in/company/KARURVYSYA/,26835.08,Financial Services,Private Sector Bank
Bandhan Bank,BANDHANBNK,https://www.screener.in/company/BANDHANBNK/,26756.84,Financial Services,Private Sector Bank
City Union Bank,CUB,https://www.screener.in/company/CUB/,18747.22,Financial Services,Private Sector Bank
T N Merc. Bank,TMB,https://www.screener.in/company/TMB/,10162.95,Financial Services,Private Sector Bank
